file_path,sha256_checksum,file_size_bytes,file_size_mb,source_priority,priority_score,dedup_decision,dedup_rationale,file_type
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/logs/hybrid_collection.log,b3bae857b04d15e04148c18a88229c4d47d644973b6cddd06e4d80f2fdbf4048,17877,0.02,Official RRB,100,keep,Unique file - no duplicates found,other
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/logs/image_download.log,7b2a2efb566db0bd86e41255ba97186688cf6d93c12251c6c131899187ce522d,13156,0.01,Official RRB,100,keep,Unique file - no duplicates found,other
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/logs/progressive_collection.log,d659c36713001fc697a57619ba927e160cd90c5e39dfa6f4a4bcde76bb8d9047,34619,0.03,Official RRB,100,keep,Unique file - no duplicates found,other
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/metadata/collection_metadata.json,74f9c60b80a5986eeed7fbb98ac1312b3ae3f9785a8720b1ae1d46a431b68fb1,1931,0.0,Official RRB,100,drop,"Near duplicate of /workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/metadata/final_collection_metadata.json (similarity: 0.86, lower priority)",json
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/metadata/collection_metadata_updated.json,17beab2b0f67a4e8d8d37559bbb1a5c2f13e164598ae18a2b849f83c31aaec73,3725,0.0,Official RRB,100,keep,Unique file - no duplicates found,json
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/metadata/comprehensive_collection_list.md,f24015528cb63bffb23cf28237561b50f4643e09935c29996aebe3c50f5f43fc,6405,0.01,Official RRB,100,keep,Unique file - no duplicates found,text
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/metadata/final_collection_metadata.json,e512c974a1cee2498254cb7a313a5124fdad10dc9bac7e7211c2f8c3ca577d92,5878,0.01,Official RRB,100,keep,Unique file,json
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/metadata/licensing_requirements.md,840afc543b4cdd66eb4e804982d1f33843d69e41a751b2dc620fed92b8d6b469,1908,0.0,Official RRB,100,keep,Unique file - no duplicates found,text
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/metadata/topic_mapping.md,2ca8bc4dbb99db408b3988f1f32546c88eb5a405d23a5015cf8dd3c28c1dc38a,12631,0.01,Official RRB,100,keep,Unique file - no duplicates found,text
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/organizations/International_organization/index.html,f5404bb0c9754500cd0ded361081cfb10204b7e52ac032c64828f00b8b956ef0,159205,0.15,Official RRB,100,drop,"Near duplicate of /workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/geography/Himalayas/index.html (similarity: 1.00, lower priority)",text
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/organizations/International_organization/metadata.json,4609b22ecf3b29fe527ff58ff90f3c21a9e90d3033685cc291f9810883f5de96,851,0.0,Official RRB,100,drop,"Near duplicate of /workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/economy/List_of_banks_in_India/metadata.json (similarity: 1.00, lower priority)",json
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/organizations/List_of_intergovernmental_organizations/List_of_intergovernmental_organizations.html,bd334ad55054302a139018c66fc48e735168f4376444586d143f4657d8c4636e,4995,0.0,Official RRB,100,keep,Unique file - no duplicates found,text
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/organizations/List_of_intergovernmental_organizations/index.html,a37828ed033d86f75ff559ee8c464fc0b29c235d87521082d457820d2d3fb1e6,9049,0.01,Official RRB,100,drop,"Near duplicate of /workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/economy/Payment_and_settlement_systems_in_India/index.html (similarity: 1.00, lower priority)",text
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/organizations/List_of_intergovernmental_organizations/metadata.json,a69bcd43f9baadfd9bd934e981f6bca8d572ae57110f789f4cfeefd3131ed730,910,0.0,Official RRB,100,drop,"Near duplicate of /workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/economy/Payment_and_settlement_systems_in_India/metadata.json (similarity: 1.00, lower priority)",json
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/organizations/Member_states_of_the_United_Nations/index.html,14863cd6245bf66db51dbe4e56e54c6a1a231a1c12387b522c4052e16241dbf6,468919,0.45,Official RRB,100,drop,"Near duplicate of /workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/geography/Himalayas/index.html (similarity: 1.00, lower priority)",text
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/organizations/Member_states_of_the_United_Nations/metadata.json,e6729ebe8cf86c1e5f0a605e179cb22b7efbc10f6ffa25f00871537417dcb114,878,0.0,Official RRB,100,drop,"Near duplicate of /workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/economy/Payment_and_settlement_systems_in_India/metadata.json (similarity: 1.00, lower priority)",json
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/organizations/United_Nations_System/United_Nations_System.html,8ff2f623414c172e5bb9bb4d5c0ab1e0e6e096481094051ec81a5de983b83fbd,4851,0.0,Official RRB,100,keep,Unique file - no duplicates found,text
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/organizations/United_Nations_System/index.html,89b281df3a334c2edff0359e148d800f24d557abfd663e31749d045b7250be4c,8869,0.01,Official RRB,100,drop,"Near duplicate of /workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/economy/List_of_banks_in_India/index.html (similarity: 1.00, lower priority)",text
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/organizations/United_Nations_System/metadata.json,49c2b519663867ed040b1fd43d0debfeff4869e91620a4bc6d786675478ddf66,856,0.0,Official RRB,100,drop,"Near duplicate of /workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/economy/List_of_banks_in_India/metadata.json (similarity: 1.00, lower priority)",json
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/polity/Basic_structure_doctrine/Basic_structure_doctrine.html,1a91dfe1f6ea9c2d610fa6d2dad21de40c251101a3056658811c83fc446baebc,4868,0.0,Official RRB,100,keep,Unique file - no duplicates found,text
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/polity/Basic_structure_doctrine/index.html,f1afe3a64b79c2ca241db4da91e51af57422efad4dc64a3b0c5ca6bda572832e,8899,0.01,Official RRB,100,drop,"Near duplicate of /workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/economy/Payment_and_settlement_systems_in_India/index.html (similarity: 1.00, lower priority)",text
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/polity/Basic_structure_doctrine/metadata.json,dd65700a10bce931cd0bc7bcd21e50f40379b3ce3b1ea5a62a08a536aa391951,865,0.0,Official RRB,100,drop,"Near duplicate of /workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/economy/Payment_and_settlement_systems_in_India/metadata.json (similarity: 1.00, lower priority)",json
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/polity/Constitution_of_India/Constitution_of_India.html,94e5513f0acf330c98dedfa01beeea37db07d5b2f4cbffd4ada40c4e937c874d,4844,0.0,Official RRB,100,drop,"Near duplicate of /workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/test_collection/Constitution_of_India/Constitution_of_India.html (similarity: 1.00, lower priority)",text
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/polity/Constitution_of_India/index.html,ac3782210c32099a0593a71ae5631f6611ce7422c8cbecf4fbc22821298f2d32,598694,0.57,Official RRB,100,drop,"Near duplicate of /workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/science-technology/ISRO/index.html (similarity: 1.00, lower priority)",text
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/polity/Constitution_of_India/metadata.json,3c5d175f31a026a3e6e287bf95126bb217d28644cea945b0cadf8411f2e27b31,836,0.0,Official RRB,100,drop,"Near duplicate of /workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/culture/Culture_of_India/metadata.json (similarity: 1.00, lower priority)",json
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/polity/Government_of_India/Government_of_India.html,981a3bfaa797758545056aa0d8fa38bd5168988dc50163bcfd89701a329d58ed,4828,0.0,Official RRB,100,keep,Unique file - no duplicates found,text
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/polity/Government_of_India/index.html,88288c8b7499793d50d1bc4fc17a46d82c65adfef27148782961137551bcedb2,8849,0.01,Official RRB,100,drop,"Near duplicate of /workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/economy/List_of_banks_in_India/index.html (similarity: 1.00, lower priority)",text
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/polity/Government_of_India/metadata.json,6f6bb340fc09b5dd3c05cbaf92095d9037133efd8b9125a772a68699f1f29e0e,850,0.0,Official RRB,100,drop,"Near duplicate of /workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/economy/List_of_banks_in_India/metadata.json (similarity: 1.00, lower priority)",json
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/polity/Judicial_review_in_India/index.html,4459ae91aa6914adc94aa418582c0508a36da31f35cd11a77e5e70da2ff6548b,3281,0.0,Official RRB,100,drop,"Near duplicate of /workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/culture/Culture_of_India/index.html (similarity: 1.00, lower priority)",text
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/polity/Judicial_review_in_India/metadata.json,d0bc58c030623ee4371f585ad89a2d0a6aa11f73809b447f80aae6871fc79409,737,0.0,Official RRB,100,drop,"Near duplicate of /workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/culture/Culture_of_India/metadata.json (similarity: 1.00, lower priority)",json
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/polity/Kesavananda_Bharati_v_State_of_Kerala/Kesavananda_Bharati_v_State_of_Kerala.html,cc90a5690c67fb5b9b819526b151ab32a11bf7114403650226f62d30d230bac7,4980,0.0,Official RRB,100,keep,Unique file - no duplicates found,text
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/polity/Kesavananda_Bharati_v_State_of_Kerala/index.html,0f2dc88c813016150b980cd5081316bb42cbaaf48084120912826e92e871b404,9029,0.01,Official RRB,100,drop,"Near duplicate of /workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/economy/Payment_and_settlement_systems_in_India/index.html (similarity: 1.00, lower priority)",text
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/polity/Kesavananda_Bharati_v_State_of_Kerala/metadata.json,6ea6293b27f98902e76e58bbac5d6a0aab41717a63014eddb7478bd2a50f1409,904,0.0,Official RRB,100,drop,"Near duplicate of /workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/economy/Payment_and_settlement_systems_in_India/metadata.json (similarity: 1.00, lower priority)",json
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/polity/Parliament_of_India/Parliament_of_India.html,923b79a58afec690cb4e1a62405397faaad6557674cae4db978906bc1f687fdc,4828,0.0,Official RRB,100,keep,Unique file - no duplicates found,text
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/polity/Parliament_of_India/index.html,66c1199457e2f9c57a743f1b82df0bfa3539ffffc866133d02b7d58f714a8de8,8812,0.01,Official RRB,100,drop,"Near duplicate of /workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/culture/Culture_of_India/index.html (similarity: 1.00, lower priority)",text
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/polity/Parliament_of_India/metadata.json,1aa632d29963274e221f6d358457be5ff52b4936a405a5ce5cda8a7c0ad3c8ff,830,0.0,Official RRB,100,drop,"Near duplicate of /workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/culture/Culture_of_India/metadata.json (similarity: 1.00, lower priority)",json
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/polity/Supreme_Court_of_India/Supreme_Court_of_India.html,bed489913bea9e301fb5af98f565c7d6d75c49f91d28862244cd644937718167,4852,0.0,Official RRB,100,keep,Unique file - no duplicates found,text
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/polity/Supreme_Court_of_India/index.html,35117c5df8432ee64b35af4aa3dd58b767a5d18e576968f3f6e81f18f8b3834c,8806,0.01,Official RRB,100,drop,"Near duplicate of /workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/culture/Culture_of_India/index.html (similarity: 1.00, lower priority)",text
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/polity/Supreme_Court_of_India/metadata.json,19e43108bd5f61962e001a3e6bdac4aea03cd228f1fddeff7bcb65ca31a5c8c6,839,0.0,Official RRB,100,drop,"Near duplicate of /workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/culture/Culture_of_India/metadata.json (similarity: 1.00, lower priority)",json
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/science-technology/Chandrayaan_programme/Chandrayaan_programme.html,18a2882100a41c447e9f23d8cc966506bf4bac307f5c13c2f564271e4ea9ebd2,4856,0.0,Official RRB,100,keep,Unique file - no duplicates found,text
